353 articles
+------------------------------------------------------+-------------+---------+---------------+---------------+
| Titlu                                                |    Autor    |   Tip   | Numar versuri | Numar cuvinte |
| În veselia ta                                        | Traian Dorz |  poezie |       36      |      124      |
| ... Isus S-a ascuns... şi a plecat din Templu        | Traian Dorz | articol |       49      |      556      |
| Aici vom rămânea                                     | Traian Dorz |  poezie |       29      |      104      |
| Slăvită fii Lumină                                   | Traian Dorz |  poezie |       36      |       87      |
| Când trecea, Isus a văzut pe un orb                  | Traian Dorz | articol |       71      |      1013     |
| Mulţimea Te-nconjoară                                | Traian Dorz |  poezie |       29      |      187      |
| Învăţătorule, cine a păcătuit?                       | Traian Dorz | articol |       58      |      988      |
| De câte ori am zis                                   | Traian Dorz |  poezie |       33      |      174      |
| Câţi ani mi-au trebuit                               | Traian Dorz |  poezie |       29      |      110      |
| Cât este ziuă, trebuie să lucrezi                    | Traian Dorz | articol |       61      |      767      |
| Grăbeşte-te să-ţi dai                                | Traian Dorz |  poezie |       31      |      114      |
| Cât sunt în lume, sunt Lumina lumii                  | Traian Dorz | articol |       68      |      1073     |
| Încă puţin şi ce s-a spus                            | Traian Dorz |  poezie |       24      |      163      |
| Un foc, de câte ori                                  | Traian Dorz |  poezie |       29      |      130      |
| Du-te de te spală                                    | Traian Dorz | articol |       76      |      909      |
| Dă tot ce eşti dator!                                | Traian Dorz |  poezie |       28      |      119      |
| Vecinii şi cunoscuţii ziceau                         | Traian Dorz | articol |       34      |      411      |
| Scurt şi mărginit                                    | Traian Dorz |  poezie |       35      |      167      |
| El zicea: eu sunt                                    | Traian Dorz | articol |       42      |      517      |
| Tu ne-ai promis Împărăţia                            | Traian Dorz |  poezie |       30      |      128      |
| Cum ţi s-au deschis ochii?                           | Traian Dorz | articol |       42      |      479      |
| Mergeam şi eu odată                                  | Traian Dorz |  poezie |       24      |      116      |
| Acela căruia I se zice Isus...                       | Traian Dorz | articol |       52      |      608      |
| O, Tu Izvorul Bucuriei                               | Traian Dorz |  poezie |       26      |      104      |
| Unde este El?                                        | Traian Dorz | articol |       34      |      307      |
| Ascultă când Hristos                                 | Traian Dorz |  poezie |       31      |      121      |
| L-au adus la farisei                                 | Traian Dorz | articol |       68      |      936      |
| De eşti un fiu Luminii                               | Traian Dorz |  poezie |       29      |      111      |
| Era o zi de sabat                                    | Traian Dorz | articol |       34      |      444      |
| La ceasul când răsună                                | Traian Dorz |  poezie |       29      |       86      |
| Din nou l-au întrebat                                | Traian Dorz | articol |       41      |      486      |
| O, frate lucrător                                    | Traian Dorz |  poezie |       26      |      124      |
| S-a făcut dezbinare între ei                         | Traian Dorz | articol |       30      |      483      |
| Ispita îţi întinde...                                | Traian Dorz |  poezie |       23      |      121      |
| Tu ce zici despre El?                                | Traian Dorz | articol |       35      |      534      |
| Nu fugi de adevărul                                  | Traian Dorz |  poezie |       29      |       94      |
| Până au chemat pe părinţii lui                       | Traian Dorz | articol |       32      |      401      |
| O, dacă-ntrebi                                       | Traian Dorz |  poezie |       29      |      108      |
| Au întrebat pe părinţii lui                          | Traian Dorz | articol |       33      |      443      |
| Un credincios nu poate                               | Traian Dorz |  poezie |       29      |      124      |
| Ştim că este fiul nostru                             | Traian Dorz | articol |       37      |      413      |
| Un sol ceresc                                        | Traian Dorz |  poezie |       26      |      101      |
| Poate vorbi singur...                                | Traian Dorz | articol |       24      |      359      |
| Iubeşte suflete şi luptă                             | Traian Dorz |  poezie |       29      |      121      |
| Se temeau de iudei                                   | Traian Dorz | articol |       59      |      753      |
| Nu mă lăsa!                                          | Traian Dorz |  poezie |       36      |      119      |
| ... Căci iudeii hotărâseră                           | Traian Dorz | articol |       49      |      727      |
| Putere a lui Dumnezeu                                | Traian Dorz |  poezie |       31      |      125      |
| De aceea au zis                                      | Traian Dorz | articol |       28      |      373      |
| Cu cât mai lungă                                     | Traian Dorz |  poezie |       29      |      120      |
| A doua oară...                                       | Traian Dorz | articol |       32      |      448      |
| Păşind încet                                         | Traian Dorz |  poezie |       29      |      134      |
| Eu una ştiu                                          | Traian Dorz | articol |       63      |      753      |
| Tot ce din Tatăl Sfânt                               | Traian Dorz |  poezie |       31      |      116      |
| Iarăşi l-au întrebat                                 | Traian Dorz | articol |       30      |      362      |
| Adevărul când îl ai                                  | Traian Dorz |  poezie |       31      |       93      |
| Doar n-aţi vrea şi voi...                            | Traian Dorz | articol |       27      |      328      |
| Priveşte ochii                                       | Traian Dorz |  poezie |       31      |      119      |
| Ei l-au ocărât                                       | Traian Dorz | articol |       37      |      416      |
| Când eşti dat în mâna...                             | Traian Dorz |  poezie |       31      |      167      |
| Ştim că Dumnezeu a vorbit lui Moise...               | Traian Dorz | articol |       60      |      881      |
| Şi tu ai să pleci odată                              | Traian Dorz |  poezie |       29      |      129      |
| Aici este mirarea                                    | Traian Dorz | articol |       61      |      911      |
| Ce sfânt e-un legământ                               | Traian Dorz |  poezie |       31      |      114      |
| Dumnezeu nu ascultă pe cei ce trăiesc în păcat       | Traian Dorz | articol |       64      |      797      |
| O, iartă-mi Te rog                                   | Traian Dorz |  poezie |       21      |      165      |
| ... Ci dacă face voia Lui, îl ascultă                | Traian Dorz | articol |       38      |      388      |
| Iubeşte-amarul rugăciunii                            | Traian Dorz |  poezie |       29      |      100      |
| Nu s-a mai auzit                                     | Traian Dorz | articol |       37      |      528      |
| Ridică-te şi-nvingi!                                 | Traian Dorz |  poezie |       29      |      111      |
| Dacă n-ar veni de la Dumnezeu                        | Traian Dorz | articol |       37      |      387      |
| În jurul tot, Lumina...                              | Traian Dorz |  poezie |       24      |      160      |
| Tu vrei să ne înveţi pe noi?                         | Traian Dorz | articol |       56      |      757      |
| Când nu-mi pot plânge                                | Traian Dorz |  poezie |       31      |       81      |
| ... Şi l-au dat afară                                | Traian Dorz | articol |       69      |      1161     |
| Nu-ţi este ţie-ngăduit                               | Traian Dorz |  poezie |       20      |      110      |
| Isus a auzit                                         | Traian Dorz | articol |       40      |      497      |
| Până nu-ţi zideşti căldura                           | Traian Dorz |  poezie |       26      |       88      |
| ... Isus l-a găsit şi i-a zis                        | Traian Dorz | articol |       28      |      336      |
| Măreaţă-i Stânca Sfântă                              | Traian Dorz |  poezie |       24      |      137      |
| ... Crezi tu?                                        | Traian Dorz | articol |       54      |      641      |
| Dacă scriind puţin                                   | Traian Dorz |  poezie |       28      |      118      |
| Şi cine este Doamne?                                 | Traian Dorz | articol |       33      |      439      |
| Cu cât mai strâns                                    | Traian Dorz |  poezie |       33      |      160      |
| L-ai şi văzut!                                       | Traian Dorz | articol |       29      |      266      |
| Tu eşti Acel ce-n gerul                              | Traian Dorz |  poezie |       31      |      111      |
| Cred Doamne                                          | Traian Dorz | articol |       45      |      487      |
| O, întâia mea credinţă!...                           | Traian Dorz |  poezie |       31      |      103      |
| ... I s-a închinat                                   | Traian Dorz | articol |       36      |      387      |
| Ce rost mai are?                                     | Traian Dorz |  poezie |       31      |      145      |
| Eu am venit pentru judecată                          | Traian Dorz | articol |       35      |      387      |
| În zadar e cerul sus...                              | Traian Dorz |  poezie |       37      |      123      |
| Unii, care erau lângă El...                          | Traian Dorz | articol |       46      |      651      |
| Nimic nu-i o-nşelare                                 | Traian Dorz |  poezie |       29      |       87      |
| Dacă aţi fi orbi, n-aţi avea păcat                   | Traian Dorz | articol |       36      |      526      |
| Ce suntem noi Doamne?                                | Traian Dorz |  poezie |       23      |      123      |
| ... Dar fiindcă ziceţi: vedem...                     | Traian Dorz | articol |       55      |      704      |
| O Isuse Doamne                                       | Traian Dorz | articol |       50      |      495      |
+------------------------------------------------------+-------------+---------+---------------+---------------+
