314 articles
+------------------------------------------------------------+-------------+---------+---------------+---------------+
| Titlu                                                      |    Autor    |   Tip   | Numar versuri | Numar cuvinte |
| Să nu te plângi!                                           | Traian Dorz |  poezie |       38      |      148      |
| Ucenicii Lui n-au înţeles                                  | Traian Dorz | articol |       74      |      847      |
| Eram copil, trecea zăpada                                  | Traian Dorz |  poezie |       36      |      159      |
| Toţi cei ce fuseseră cu Isus, - mărturiseau                | Traian Dorz | articol |       63      |      794      |
| Nu-mi mai doresc                                           | Traian Dorz |  poezie |       36      |      132      |
| Norodul a ieşit... pentru că aflase - semnul               | Traian Dorz | articol |       62      |      785      |
| Cu cât cunosc                                              | Traian Dorz |  poezie |       36      |      116      |
| Vedeţi că nu câştigaţi nimic                               | Traian Dorz | articol |       64      |      885      |
| Nimic n-avem                                               | Traian Dorz |  poezie |       30      |      142      |
| Nişte greci... se suiseră să se închine                    | Traian Dorz | articol |       69      |      797      |
| Aştepţi să vină Domnul?                                    | Traian Dorz |  poezie |       40      |      134      |
| Am vrea să vedem pe Isus                                   | Traian Dorz | articol |       75      |      843      |
| Fii puternică şi mare                                      | Traian Dorz |  poezie |       36      |      134      |
| Andrei şi Filip                                            | Traian Dorz | articol |       63      |      800      |
| Nu-nlătura o Doamne                                        | Traian Dorz |  poezie |       35      |      173      |
| A sosit ceasul să fie proslăvit Fiul                       | Traian Dorz | articol |       63      |      830      |
| Te-am pus ca o pecete                                      | Traian Dorz |  poezie |       32      |      160      |
| Dacă nu moare, rămâne singur                               | Traian Dorz | articol |       75      |      942      |
| Tu ni Te dărui nouă                                        | Traian Dorz |  poezie |       29      |      145      |
| Cine îşi iubeşte viaţa                                     | Traian Dorz | articol |       65      |      1042     |
| Cu cât mai mulţi                                           | Traian Dorz |  poezie |       30      |      126      |
| Unde sunt Eu, acolo va fi şi - slujitorul Meu              | Traian Dorz | articol |       74      |      986      |
| Doamne, să nu pot vreodată                                 | Traian Dorz |  poezie |       36      |      140      |
| Dar tocmai pentru aceasta, am venit                        | Traian Dorz | articol |       73      |      877      |
| O, dac-aş şti eu                                           | Traian Dorz |  poezie |       33      |      119      |
| L-am proslăvit şi-L voi mai proslăvi                       | Traian Dorz | articol |       68      |      776      |
| O, dac-aş fi un înger                                      | Traian Dorz |  poezie |       33      |      200      |
| Norodul care stătea acolo...                               | Traian Dorz | articol |       79      |      883      |
| Cuvântul Tău Etern                                         | Traian Dorz |  poezie |       31      |      104      |
| Nu pentru Mine, ci pentru voi                              | Traian Dorz | articol |       72      |      796      |
| Ferice-i a vorbi                                           | Traian Dorz |  poezie |       36      |      131      |
| Acum are loc judecata lumii                                | Traian Dorz | articol |       78      |      834      |
| De ce nu vii nici astăzi?                                  | Traian Dorz |  poezie |       43      |      171      |
| Voi atrage la Mine pe toţi oamenii                         | Traian Dorz | articol |       81      |      858      |
| Va fi cândva!                                              | Traian Dorz |  poezie |       32      |      189      |
| Vorbind astfel arăta                                       | Traian Dorz | articol |       80      |      898      |
| Pentru fraţii cei statornici                               | Traian Dorz |  poezie |       36      |      115      |
| Noi am auzit...                                            | Traian Dorz | articol |       80      |      852      |
| De nu primeşti nimic străin                                | Traian Dorz |  poezie |       37      |      138      |
| Umblaţi ca unii care aveţi Lumina                          | Traian Dorz | articol |       62      |      838      |
| Tu vrei iubirea                                            | Traian Dorz |  poezie |       43      |      139      |
| Câtă vreme aveţi lumina, umblaţi - în ea...                | Traian Dorz | articol |       72      |      842      |
| Răsplăteşte Doamne...                                      | Traian Dorz |  poezie |       36      |      140      |
| Tot nu credeau în El                                       | Traian Dorz | articol |       61      |      856      |
| Când nu ştii!...                                           | Traian Dorz |  poezie |       37      |      226      |
| ... Cui i-a fost descoperit                                | Traian Dorz | articol |       63      |      979      |
| Suflete-al meu                                             | Traian Dorz |  poezie |       33      |      148      |
| Nu puteau crede...                                         | Traian Dorz | articol |       68      |      819      |
| Cu cât mai preţios                                         | Traian Dorz |  poezie |       35      |      174      |
| Orbirea ochilor şi împietrirea inimii                      | Traian Dorz | articol |       62      |      959      |
| Sculaţi-vă de tineri!                                      | Traian Dorz |  poezie |       28      |      137      |
| Isaia a spus... când a văzut                               | Traian Dorz | articol |       65      |      831      |
| Slavă Ţie care umpli                                       | Traian Dorz |  poezie |       28      |      145      |
| Au crezut, - dar de frică...                               | Traian Dorz | articol |       71      |      811      |
| Nu numai dorind                                            | Traian Dorz |  poezie |       41      |      158      |
| Au iubit mai mult slava oamenilor                          | Traian Dorz | articol |       91      |      741      |
| Cu fiecare răsărit                                         | Traian Dorz |  poezie |       32      |      138      |
| Isus a strigat                                             | Traian Dorz | articol |       88      |      934      |
| Curaj, trudit semănător                                    | Traian Dorz |  poezie |       31      |      107      |
| Cine Mă vede pe Mine                                       | Traian Dorz | articol |       69      |      941      |
| Ţine-ne Isuse Doamne                                       | Traian Dorz |  poezie |       41      |      131      |
| Cine crede... să nu rămână în întuneric                    | Traian Dorz | articol |       70      |      918      |
| Al cui e soarele?                                          | Traian Dorz |  poezie |       37      |      173      |
| Dacă aude... şi nu păzeşte                                 | Traian Dorz | articol |       67      |      872      |
| Doamne, ia aminte-odată                                    | Traian Dorz |  poezie |       32      |      152      |
| Are cine să-l osândească...                                | Traian Dorz | articol |       70      |      945      |
| Nu te mânia                                                | Traian Dorz |  poezie |       35      |      121      |
| Ce trebuie să spun şi cum trebuie să - vorbesc             | Traian Dorz | articol |       65      |      862      |
| Ce mă înveţi tu?                                           | Traian Dorz |  poezie |       33      |      188      |
| Întocmai cum Mi le-a spus Tatăl                            | Traian Dorz | articol |       75      |      980      |
| O, Sfânt Cuvânt                                            | Traian Dorz |  poezie |       36      |      149      |
+------------------------------------------------------------+-------------+---------+---------------+---------------+
