362 articles
+------------------------------------------------+-------------+---------+---------------+---------------+
| Titlu                                          |    Autor    |   Tip   | Numar versuri | Numar cuvinte |
| O, dragi cântări, cu cât                       | Traian Dorz |  poezie |       36      |      134      |
| ... Eu nu-l voi izgoni afară                   | Traian Dorz | articol |       31      |      507      |
| Uită!                                          | Traian Dorz |  poezie |       21      |       62      |
| Nu să fac voia Mea                             | Traian Dorz | articol |       31      |      365      |
| Ca harul dragostei                             | Traian Dorz |  poezie |       31      |      115      |
| ... Să nu pierd nimic...                       | Traian Dorz | articol |       54      |      692      |
| Harul de-a pătrunde                            | Traian Dorz |  poezie |       31      |       96      |
| Eu îl voi învia...                             | Traian Dorz | articol |       35      |      343      |
| Când Chip Tu vei lua                           | Traian Dorz |  poezie |       31      |      117      |
| Iudeii cârteau...                              | Traian Dorz | articol |       56      |      714      |
| Când vrei să afli                              | Traian Dorz |  poezie |       27      |       97      |
| Oare nu este Acesta Fiul lui?...               | Traian Dorz | articol |       52      |      778      |
| Coboară ziua...                                | Traian Dorz |  poezie |       31      |       85      |
| Isus le-a zis: nu cârtiţi!                     | Traian Dorz | articol |       37      |      431      |
| Din tot ce-aduni                               | Traian Dorz |  poezie |       30      |      127      |
| Dacă nu-l atrage Tatăl                         | Traian Dorz | articol |       22      |      240      |
| Din vuietul mulţimii                           | Traian Dorz |  poezie |       28      |       84      |
| ... Şi a primit învăţătura Lui                 | Traian Dorz | articol |       33      |      364      |
| Numai Cel ce vine de la Dumnezeu               | Traian Dorz | articol |       3       |       21      |
| În veci noi n-am vedea                         | Traian Dorz |  poezie |       38      |      144      |
| Adevărat, adevărat vă spun...                  | Traian Dorz | articol |       33      |      357      |
| De soare am nevoie                             | Traian Dorz |  poezie |       31      |      102      |
| Eu sunt Pâinea vieţii                          | Traian Dorz | articol |       45      |      668      |
| De nu-mi erai decât un Prieten                 | Traian Dorz |  poezie |       31      |      124      |
| Părinţii noştri au mâncat mană                 | Traian Dorz | articol |       39      |      417      |
| Cum poţi să umbli oare?                        | Traian Dorz |  poezie |       29      |      101      |
| Să mănânce... şi să nu moară                   | Traian Dorz | articol |       38      |      403      |
| Din Tine este-mpărtăşirea                      | Traian Dorz |  poezie |       23      |       90      |
| Pâinea vie                                     | Traian Dorz | articol |       51      |      658      |
| Din câte lucruri                               | Traian Dorz |  poezie |       31      |      124      |
| Cum poate... să ne dea Trupul Lui?             | Traian Dorz | articol |       41      |      469      |
| Tu Cel al cărui Nume                           | Traian Dorz |  poezie |       26      |      134      |
| Dacă nu mâncaţi... şi dacă nu beţi...          | Traian Dorz | articol |       41      |      421      |
| Mereu ne umple graiul                          | Traian Dorz |  poezie |       31      |       89      |
| Eu îl voi învia în Ziua de Apoi                | Traian Dorz | articol |       35      |      430      |
| Tu eşti în noi                                 | Traian Dorz |  poezie |       26      |      125      |
| Cine mănâncă Trupul Lui, are viaţa...          | Traian Dorz | articol |       33      |      354      |
| Rămâne în Mine şi Eu rămân în el               | Traian Dorz | articol |       3       |       16      |
| Eu Te păstrez Isuse                            | Traian Dorz |  poezie |       28      |      147      |
| ... Va trăi prin Mine                          | Traian Dorz | articol |       38      |      401      |
| Cântarea Veşniciei spre                        | Traian Dorz |  poezie |       31      |      156      |
| Astfel este Pâinea... nu ca mana               | Traian Dorz | articol |       35      |      426      |
| Neliniştitul suflet                            | Traian Dorz |  poezie |       28      |       85      |
| În sinagogă... în Capernaum                    | Traian Dorz | articol |       37      |      483      |
| De unde-am început                             | Traian Dorz |  poezie |       33      |      137      |
| Este prea de tot...                            | Traian Dorz | articol |       50      |      658      |
| Doamne, dorul meu de-acum                      | Traian Dorz |  poezie |       37      |      149      |
| Isus ştia că ucenicii cârteau...               | Traian Dorz | articol |       34      |      381      |
| Eu Te iubesc                                   | Traian Dorz |  poezie |       31      |      125      |
| Dar dacă aţi vedea...                          | Traian Dorz | articol |       29      |      454      |
| Când nu voi mai întoarce...                    | Traian Dorz |  poezie |       24      |       96      |
| Duh şi viaţă                                   | Traian Dorz | articol |       42      |      440      |
| Flămând ca nu de pâine                         | Traian Dorz |  poezie |       33      |      126      |
| Isus ştia de la început...                     | Traian Dorz | articol |       75      |      976      |
| În Cartea Ta...                                | Traian Dorz |  poezie |       36      |      185      |
| Tocmai de aceea v-am spus...                   | Traian Dorz | articol |       31      |      388      |
| Păcatului şi firii                             | Traian Dorz |  poezie |       19      |       94      |
| Mulţi s-au întors înapoi...                    | Traian Dorz | articol |       72      |      1304     |
| Începutul şi Sfârşitul                         | Traian Dorz |  poezie |       36      |      119      |
| Voi nu vreţi să vă duceţi?                     | Traian Dorz | articol |       70      |      963      |
| O, ce deşertăciune-s toate!                    | Traian Dorz |  poezie |       31      |      114      |
| Doamne, la cine să ne ducem?                   | Traian Dorz | articol |       47      |      648      |
| Să folosesc Iubirii                            | Traian Dorz |  poezie |       31      |       67      |
| Noi am ajuns la cunoştinţa - că Tu eşti...     | Traian Dorz | articol |       50      |      567      |
| Nu-i iubire ca a Ta                            | Traian Dorz |  poezie |       36      |      105      |
| Nu v-am ales Eu pe voi?                        | Traian Dorz | articol |       61      |      920      |
| S-au dus cei răi                               | Traian Dorz |  poezie |       21      |      119      |
| El, unul din cei doisprezece                   | Traian Dorz | articol |       77      |      929      |
| O Doamne Isuse,                                | Traian Dorz | articol |       19      |      373      |
