664 articles
+----------------------------------+-------------+--------+---------------+---------------+
| Titlu                            |    Autor    |  Tip   | Numar versuri | Numar cuvinte |
| Aşa ţi-ar spune seara            | Traian Dorz | poezie |       29      |      101      |
| Fiecare despărţire               | Traian Dorz | poezie |       29      |       98      |
| Când vezi pe câţi                | Traian Dorz | poezie |       29      |      122      |
| Nu va fi belşug de-a pururi      | Traian Dorz | poezie |       34      |      129      |
| Te-am lăudat din buze            | Traian Dorz | poezie |       29      |      136      |
| Doamne binecuvântează            | Traian Dorz | poezie |       31      |       91      |
| Slavă, Veşnică Lumină            | Traian Dorz | poezie |       29      |       83      |
| Iubire, dă-ne harul              | Traian Dorz | poezie |       26      |       91      |
| Încredinţează-ne iubire          | Traian Dorz | poezie |       29      |      114      |
| Iubire, nici nu ştiu să spun     | Traian Dorz | poezie |       29      |      123      |
| O, Milostiv Samaritean           | Traian Dorz | poezie |       25      |       98      |
| Numai o iubire este              | Traian Dorz | poezie |       29      |      144      |
| Iubire ce mi-ai depărtat         | Traian Dorz | poezie |       29      |       99      |
| Slavă veşnică Ţi-nchin           | Traian Dorz | poezie |       24      |       74      |
| Am cu Hristos un legământ        | Traian Dorz | poezie |       35      |      155      |
| O, iată vin grăbiţii             | Traian Dorz | poezie |       19      |       87      |
| Cu fiecare noapte                | Traian Dorz | poezie |       26      |      136      |
| Suflete, fără credinţă!...       | Traian Dorz | poezie |       29      |       98      |
| Sunt în lume Legi şi Taine       | Traian Dorz | poezie |       29      |      210      |
| O, creşte-mi, Rugăciune          | Traian Dorz | poezie |       29      |       84      |
| Când n-am putut                  | Traian Dorz | poezie |       20      |      110      |
| Slavă veşnică Iertării           | Traian Dorz | poezie |       29      |       76      |
| Ce mult ne stăpâneşte Astăzi     | Traian Dorz | poezie |       29      |      133      |
| Iubire, fii pază                 | Traian Dorz | poezie |       23      |       87      |
| Mărire veşnică Răbdării          | Traian Dorz | poezie |       29      |       88      |
| Daţi drumul celor prinşi         | Traian Dorz | poezie |       29      |      102      |
| Şterge-mi tot                    | Traian Dorz | poezie |       21      |       68      |
| Iubirii care n-a uitat           | Traian Dorz | poezie |       29      |       79      |
| Slavă-n tine Cer curat           | Traian Dorz | poezie |       21      |       70      |
| Lângă geam însingurat            | Traian Dorz | poezie |       36      |      131      |
| La căsuţa unde-i                 | Traian Dorz | poezie |       25      |       92      |
| Am cu viaţa un cules             | Traian Dorz | poezie |       29      |      125      |
| Am cu urmaşii un cuvânt          | Traian Dorz | poezie |       31      |      134      |
| Am cu păcatul un război          | Traian Dorz | poezie |       30      |      113      |
| Va trebui să mori curând         | Traian Dorz | poezie |       34      |      143      |
| Curând va trebui                 | Traian Dorz | poezie |       34      |      132      |
| O, binecuvântează-i Doamne       | Traian Dorz | poezie |       29      |      102      |
| Nu vă uscaţi curate lacrimi      | Traian Dorz | poezie |       29      |      113      |
| Cunoşti tu oare?                 | Traian Dorz | poezie |       34      |      119      |
| Afară vor fi câinii              | Traian Dorz | poezie |       29      |      114      |
| E mult prea scumpă               | Traian Dorz | poezie |       30      |      125      |
| Nu vreau să merg                 | Traian Dorz | poezie |       29      |      127      |
| Să ard de sete...                | Traian Dorz | poezie |       29      |      102      |
| Sfânt Izvor însângerat           | Traian Dorz | poezie |       29      |       87      |
| Cuvântul izvorât din tine        | Traian Dorz | poezie |       29      |      119      |
| Numai dacă arzi puternic         | Traian Dorz | poezie |       29      |      102      |
| M-apropiu de-orice muncă         | Traian Dorz | poezie |       29      |      157      |
| Orice mărire ai avea             | Traian Dorz | poezie |       34      |      133      |
| În clipa morţii vede omul        | Traian Dorz | poezie |       34      |      146      |
| Nu-ţi pese de părerea lumii      | Traian Dorz | poezie |       29      |      120      |
| Coboară-Te Lumină                | Traian Dorz | poezie |       17      |       67      |
| În faţa Crucii                   | Traian Dorz | poezie |       24      |       98      |
