602 articles
+---------------------------------------+-------------+--------+---------------+---------------+
| Titlu                                 |    Autor    |  Tip   | Numar versuri | Numar cuvinte |
| De când n-ai plâns tu oare, de când?  | Traian Dorz | poezie |       19      |      136      |
| Pe unde-ai fost?                      | Traian Dorz | poezie |       29      |      124      |
| Rămâi acelaşi                         | Traian Dorz | poezie |       26      |      124      |
| Să nu-i laşi nimănuia                 | Traian Dorz | poezie |       29      |      136      |
| Pentru un pas greşit                  | Traian Dorz | poezie |       26      |      121      |
| Încarcă-ţi amintirea                  | Traian Dorz | poezie |       29      |      108      |
| 268 -Face să pierzi                   | Traian Dorz | poezie |       19      |      133      |
| Întoarce-ţi pururi faţa               | Traian Dorz | poezie |       31      |      108      |
| Mai sunt, mai sunt                    | Traian Dorz | poezie |       26      |      136      |
| Unde n-a fost nimeni                  | Traian Dorz | poezie |       29      |      105      |
| Ţi-ai tot pierdut din clipe           | Traian Dorz | poezie |       24      |      160      |
| Doamne-ajută-mă să strâng             | Traian Dorz | poezie |       30      |      126      |
| Când presimţiri voioase               | Traian Dorz | poezie |       24      |      145      |
| Pe cine-ntrebi?                       | Traian Dorz | poezie |       31      |      148      |
| Deschide-ţi casa ta                   | Traian Dorz | poezie |       26      |       98      |
| Cu cine şezi?                         | Traian Dorz | poezie |       19      |      134      |
| Se mai roteşte încă                   | Traian Dorz | poezie |       24      |      162      |
| A cui mai eşti?                       | Traian Dorz | poezie |       19      |      138      |
| De ce te îndoieşti?                   | Traian Dorz | poezie |       31      |      157      |
| Pe unde-am mers                       | Traian Dorz | poezie |       24      |      136      |
| Sunt tot mai lungi                    | Traian Dorz | poezie |       29      |      125      |
| S-aud prin întuneric                  | Traian Dorz | poezie |       24      |      133      |
| Va sfârşi deodată                     | Traian Dorz | poezie |       31      |       85      |
| De s-ar deschide                      | Traian Dorz | poezie |       35      |      138      |
| Trec fără popas                       | Traian Dorz | poezie |       32      |      128      |
| Mai stă încă Domnul                   | Traian Dorz | poezie |       31      |       83      |
| Vine-odată vremea                     | Traian Dorz | poezie |       19      |      103      |
| Doamne-ajută-mă s-adun                | Traian Dorz | poezie |       29      |      109      |
| Închide-mi-te şoaptă                  | Traian Dorz | poezie |       26      |       87      |
| Când atingem ţinta                    | Traian Dorz | poezie |       29      |       74      |
| Numără-ţi mai bine                    | Traian Dorz | poezie |       31      |      137      |
| Mâinile Tale Drag Isus                | Traian Dorz | poezie |       31      |      113      |
| Vine seara neştiută                   | Traian Dorz | poezie |       24      |      187      |
| Ce n-ai putut lăsa                    | Traian Dorz | poezie |       26      |       99      |
| Numai singură-mplinirea               | Traian Dorz | poezie |       24      |      139      |
| Vino cât e ziuă unde-i                | Traian Dorz | poezie |       31      |      100      |
| Caută bine Adevărul                   | Traian Dorz | poezie |       19      |      144      |
| Umbra Ta Isuse                        | Traian Dorz | poezie |       24      |      108      |
| Câte minuni                           | Traian Dorz | poezie |       26      |      105      |
| Nimic nu s-a-ntâmplat vreodată        | Traian Dorz | poezie |       29      |      125      |
| La răscrucea asta                     | Traian Dorz | poezie |       24      |      130      |
| Credeam odată                         | Traian Dorz | poezie |       26      |      108      |
| Doamne, n-am uitat                    | Traian Dorz | poezie |       29      |      102      |
| Nu-i alt Isus Adevărat                | Traian Dorz | poezie |       34      |      134      |
| Nu sta liniştit acolo unde e stăpân   | Traian Dorz | poezie |       24      |      165      |
| Poate-ai pus                          | Traian Dorz | poezie |       29      |      119      |
| Acum îţi suflă vântul                 | Traian Dorz | poezie |       24      |      156      |
| Eu nu mă voi desparte                 | Traian Dorz | poezie |       24      |      147      |
| Numai Tu rămâi                        | Traian Dorz | poezie |       26      |      134      |
| Să ştii s-aştepţi                     | Traian Dorz | poezie |       30      |      194      |
| Oastea Ta Isuse                       | Traian Dorz | poezie |       30      |      150      |
| Vine Cineva adesea                    | Traian Dorz | poezie |       29      |      187      |
| Du-te când te-aşteaptă                | Traian Dorz | poezie |       26      |      102      |
| Undeva odată                          | Traian Dorz | poezie |       24      |      131      |
| Să nu-ţi îngropi de tot               | Traian Dorz | poezie |       29      |      135      |
| Tu pleci undeva                       | Traian Dorz | poezie |       27      |      117      |
| E-aproape Ţărmul                      | Traian Dorz | poezie |       31      |      119      |
| Spre unde mergi?                      | Traian Dorz | poezie |       24      |      138      |
| Poţi pleca                            | Traian Dorz | poezie |       26      |       84      |
| Mâine când va fi                      | Traian Dorz | poezie |       26      |      130      |
| Când vei trece printre                | Traian Dorz | poezie |       26      |      127      |
| Ce-avem în faţa?                      | Traian Dorz | poezie |       41      |      154      |
| Cineva te strigă                      | Traian Dorz | poezie |       26      |      124      |
| De ce mă tem?                         | Traian Dorz | poezie |       32      |      123      |
| Cine ţi-a adus?                       | Traian Dorz | poezie |       19      |      116      |
| Alergarea stăruitoare                 | Traian Dorz | poezie |       28      |      147      |
| Credinţa-ncununată                    | Traian Dorz | poezie |       29      |       78      |
| Credinţă-adevărată                    | Traian Dorz | poezie |       29      |      150      |
| S-alergăm cu stăruinţă                | Traian Dorz | poezie |       29      |      105      |
| N-ajung niciodată                     | Traian Dorz | poezie |       21      |      121      |
| Şi mii de ani                         | Traian Dorz | poezie |       27      |      186      |
| Nu e nimeni-nimeni                    | Traian Dorz | poezie |       24      |      131      |
| Prin liniştea albă                    | Traian Dorz | poezie |       24      |      126      |
| Pe cine o să ai aproape?              | Traian Dorz | poezie |       25      |      219      |
| Deschide-ţi mâna ta                   | Traian Dorz | poezie |       34      |      175      |
| Eu nu mă las                          | Traian Dorz | poezie |       24      |      174      |
| Vin şi-ndoieli                        | Traian Dorz | poezie |       35      |      134      |
| Curând ajungem                        | Traian Dorz | poezie |       27      |      123      |
| Mai singur şi mai aspru               | Traian Dorz | poezie |       26      |       96      |
| Mai ai ceva să-nveţi                  | Traian Dorz | poezie |       29      |      114      |
| Când nu mai ştii                      | Traian Dorz | poezie |       25      |      154      |
| O, unde sunt aleşii?                  | Traian Dorz | poezie |       31      |      120      |
| Amară e lumina                        | Traian Dorz | poezie |       24      |      144      |
| Când o să-ţi ardă cerul               | Traian Dorz | poezie |       26      |       99      |
| Dacă lupţi cu-adevărat                | Traian Dorz | poezie |       29      |      110      |
| Glas de-arhanghel                     | Traian Dorz | poezie |       32      |      129      |
| Cum ai vrea să spui!                  | Traian Dorz | poezie |       34      |      159      |
| Să te-aştepţi oricând                 | Traian Dorz | poezie |       27      |      112      |
| Moartea şterge toate                  | Traian Dorz | poezie |       27      |      106      |
| Când voi reveni                       | Traian Dorz | poezie |       29      |      203      |
| Sunt zile mari...                     | Traian Dorz | poezie |       29      |      112      |
| Iubirea mea Isuse mai suie            | Traian Dorz | poezie |       19      |      133      |
| Suntem mult mai mulţi                 | Traian Dorz | poezie |       26      |      122      |
| La ceasul întâlnirii                  | Traian Dorz | poezie |       24      |      146      |
| Cei ce se-ntorc                       | Traian Dorz | poezie |       29      |      103      |
| O, dulce tinereţe                     | Traian Dorz | poezie |       24      |      134      |
| Un zbor grăbit                        | Traian Dorz | poezie |       35      |      133      |
| Cine-I Cel ce-ţi bate?                | Traian Dorz | poezie |       24      |      132      |
| Să mă cunosc pe mine                  | Traian Dorz | poezie |       26      |       88      |
| Cine-ţi strecoară spaima?             | Traian Dorz | poezie |       26      |      100      |
| Va fi-un amurg                        | Traian Dorz | poezie |       24      |      182      |
| Sunt tot mai singur                   | Traian Dorz | poezie |       29      |      131      |
| Abia mai văd                          | Traian Dorz | poezie |       32      |      123      |
| Cine mai alege astăzi?                | Traian Dorz | poezie |       24      |      169      |
| Mereu mai spre-ntuneric               | Traian Dorz | poezie |       32      |      105      |
| Vino fiul meu                         | Traian Dorz | poezie |       19      |      128      |
| Să laşi aici!                         | Traian Dorz | poezie |       31      |      103      |
| Ascultă pururi glasul                 | Traian Dorz | poezie |       31      |       97      |
| Nu mă certaţi                         | Traian Dorz | poezie |       26      |      122      |
| Când se va striga                     | Traian Dorz | poezie |       29      |      126      |
| Ce-ajunge pân-la tine?                | Traian Dorz | poezie |       20      |      132      |
| Întoarceţi pân-la Domnul              | Traian Dorz | poezie |       29      |       81      |
| Drumul cel nemaisfârşit               | Traian Dorz | poezie |       29      |      103      |
| Nu mai am                             | Traian Dorz | poezie |       24      |      148      |
| Ce-I spui lui Isus?                   | Traian Dorz | poezie |       30      |      122      |
| Ce-aduci în loc de lacrimi?           | Traian Dorz | poezie |       24      |      150      |
| În orice loc                          | Traian Dorz | poezie |       29      |      105      |
| Pe geamul dinspre moarte              | Traian Dorz | poezie |       29      |       93      |
| De ce-ai lăsat?                       | Traian Dorz | poezie |       26      |       90      |
| N-am înţeles adesea                   | Traian Dorz | poezie |       23      |      135      |
| M-am întâlnit cu Tine                 | Traian Dorz | poezie |       26      |       94      |
