314 articles
+-------------------------------------------+-------------+--------+---------------+---------------+
| Titlu                                     |    Autor    |  Tip   | Numar versuri | Numar cuvinte |
| Psalmul 113                               | Traian Dorz | poezie |       24      |      124      |
| Psalmul 114                               | Traian Dorz | poezie |       19      |       77      |
| Psalmul 115                               | Traian Dorz | poezie |       49      |      255      |
| Psalmul 116                               | Traian Dorz | poezie |       54      |      195      |
| Psalmul 117                               | Traian Dorz | poezie |       13      |       36      |
| Psalmul 118                               | Traian Dorz | poezie |       74      |      392      |
| Psalmul 119                               | Traian Dorz | poezie |      806      |      2751     |
| Psalmul 120                               | Traian Dorz | poezie |       26      |       90      |
| Psalmul 121                               | Traian Dorz | poezie |       36      |      128      |
| Psalmul 122                               | Traian Dorz | poezie |       48      |      176      |
| Psalmul 123                               | Traian Dorz | poezie |       26      |       94      |
| Psalmul 124                               | Traian Dorz | poezie |       36      |      162      |
| Psalmul 125                               | Traian Dorz | poezie |      107      |      473      |
| Psalmul 126                               | Traian Dorz | poezie |       36      |      133      |
| Psalmul 127                               | Traian Dorz | poezie |       26      |      129      |
| Psalmul 128                               | Traian Dorz | poezie |       26      |      120      |
| Psalmul 129                               | Traian Dorz | poezie |       31      |      126      |
| Psalmul 130                               | Traian Dorz | poezie |       36      |      123      |
| Psalmul 131                               | Traian Dorz | poezie |       25      |       96      |
| Psalmul 132                               | Traian Dorz | poezie |       49      |      277      |
| Psalmul 133                               | Traian Dorz | poezie |       29      |       93      |
| Psalmul 134                               | Traian Dorz | poezie |       17      |       56      |
| Psalmul 135                               | Traian Dorz | poezie |       60      |      309      |
| Psalmul 136                               | Traian Dorz | poezie |       67      |      331      |
| Psalmul 137                               | Traian Dorz | poezie |       44      |      192      |
| Psalmul 138                               | Traian Dorz | poezie |       36      |      144      |
| Psalmul 139                               | Traian Dorz | poezie |       47      |      384      |
| Psalmul 140                               | Traian Dorz | poezie |       35      |      180      |
| Psalmul 141                               | Traian Dorz | poezie |       56      |      201      |
